update,type,sell,buy,rate
2023-12-22,PNJ,62.95,61.9,
2023-12-23,PNJ,62.95,61.9,0.0
2023-12-25,PNJ,63.15,62.0,0.16
2023-12-26,PNJ,63.65,62.55,0.89
2023-12-27,PNJ,63.85,62.75,0.32
2023-12-28,PNJ,64.15,63.05,0.48
2023-12-29,PNJ,63.6,62.5,-0.87
2023-12-30,PNJ,63.3,62.2,-0.48
2024-01-02,PNJ,63.25,62.15,-0.08
2024-01-03,PNJ,63.25,62.15,0.0
2024-01-04,PNJ,63.1,62.0,-0.24
2024-01-05,PNJ,63.1,62.0,0.0
2024-01-06,PNJ,63.1,62.0,0.0
2024-01-08,PNJ,63.1,62.0,0.0
2024-01-09,PNJ,62.95,61.9,-0.16
2024-01-10,PNJ,63.1,62.0,0.16
2024-01-11,PNJ,63.15,62.0,0.0
2024-01-12,PNJ,63.35,62.2,0.32
2024-01-13,PNJ,63.5,62.4,0.32
2024-01-15,PNJ,64.0,62.9,0.8
2024-01-16,PNJ,64.15,63.05,0.24
2024-01-17,PNJ,63.8,62.7,-0.56
2024-01-18,PNJ,63.5,62.3,-0.64
2024-01-19,PNJ,63.75,62.55,0.4
2024-01-20,PNJ,63.85,62.6,0.08
2024-01-22,PNJ,64.05,62.85,0.4
2024-01-23,PNJ,64.1,62.85,0.0
2024-01-24,PNJ,64.2,62.9,0.08
2024-01-25,PNJ,64.05,62.75,-0.24
2024-01-26,PNJ,64.05,62.75,0.0
2024-01-27,PNJ,64.05,62.75,0.0
2024-01-29,PNJ,64.05,62.75,0.0
2024-01-30,PNJ,64.15,62.8,0.08
2024-01-31,PNJ,64.25,62.9,0.16
2024-02-01,PNJ,64.35,63.1,0.32
2024-02-02,PNJ,64.45,63.25,0.24
2024-02-03,PNJ,64.45,63.25,0.0
2024-02-05,PNJ,64.4,63.2,-0.08
2024-02-06,PNJ,64.4,63.2,0.0
2024-02-07,PNJ,64.55,63.4,0.32
2024-02-15,PNJ,64.55,63.4,0.0
2024-02-16,PNJ,64.5,63.35,-0.08
2024-02-17,PNJ,64.6,63.5,0.24
2024-02-18,PNJ,64.6,63.35,-0.24
2024-02-19,PNJ,64.6,63.35,0.0
2024-02-20,PNJ,64.6,63.35,0.0
2024-02-21,PNJ,64.5,63.3,-0.08
2024-02-22,PNJ,64.5,63.3,0.0
2024-02-23,PNJ,64.6,63.35,0.08
2024-02-24,PNJ,64.7,63.55,0.32
2024-02-26,PNJ,64.7,63.55,0.0
2024-02-27,PNJ,65.1,63.9,0.55
2024-02-28,PNJ,65.1,63.9,0.0
2024-02-29,PNJ,65.3,64.1,0.31
2024-03-01,PNJ,65.6,64.4,0.47
2024-03-02,PNJ,66.45,65.25,1.32
2024-03-04,PNJ,66.85,65.6,0.54
2024-03-05,PNJ,67.7,66.5,1.37
2024-03-06,PNJ,67.85,66.6,0.15
2024-03-07,PNJ,68.15,66.85,0.38
2024-03-08,PNJ,68.65,67.35,0.75
2024-03-09,PNJ,69.35,68.1,1.11
2024-03-11,PNJ,70.05,68.8,1.03
2024-03-12,PNJ,70.25,68.95,0.22
2024-03-13,PNJ,69.6,68.4,-0.8
2024-03-14,PNJ,69.1,67.9,-0.73
2024-03-15,PNJ,69.1,67.9,0.0
2024-03-16,PNJ,68.9,67.7,-0.29
2024-03-18,PNJ,68.7,67.5,-0.3
2024-03-19,PNJ,68.7,67.5,0.0
2024-03-20,PNJ,68.75,67.55,0.07
2024-03-21,PNJ,69.9,68.7,1.7
2024-03-22,PNJ,69.3,68.1,-0.87
2024-03-23,PNJ,69.1,67.9,-0.29
2024-03-25,PNJ,69.3,68.0,0.15
2024-03-26,PNJ,69.5,68.2,0.29
2024-03-27,PNJ,69.5,68.2,0.0
2024-03-28,PNJ,69.8,68.5,0.44
2024-03-29,PNJ,70.5,69.3,1.17
2024-03-30,PNJ,70.5,69.3,0.0
2024-04-01,PNJ,70.95,69.7,0.58
2024-04-02,PNJ,70.9,69.6,-0.14
