update,type,buy,sell
2023-12-22,PNJ,62.95,61.9
2023-12-22,SJC,77.3,76.3
2023-12-23,PNJ,62.95,61.9
2023-12-23,SJC,76.95,75.75
2023-12-25,PNJ,63.15,62.0
2023-12-25,SJC,78.5,77.5
2023-12-26,PNJ,63.65,62.55
2023-12-26,SJC,80.3,79.1
2023-12-27,PNJ,63.85,62.75
2023-12-27,SJC,80.1,78.3
2023-12-28,PNJ,64.15,63.05
2023-12-28,SJC,79.8,78.4
2023-12-29,PNJ,63.6,62.5
2023-12-29,SJC,77.1,74.1
2023-12-30,PNJ,63.3,62.2
2023-12-30,SJC,76.0,72.5
2024-01-02,PNJ,63.25,62.15
2024-01-02,SJC,76.5,73.6
2024-01-03,PNJ,63.25,62.15
2024-01-03,SJC,76.0,73.0
2024-01-04,PNJ,63.1,62.0
2024-01-04,SJC,75.5,72.5
2024-01-05,PNJ,63.1,62.0
2024-01-05,SJC,75.2,72.5
2024-01-06,PNJ,63.1,62.0
2024-01-06,SJC,75.2,72.5
2024-01-08,PNJ,63.1,62.0
2024-01-08,SJC,75.2,72.5
2024-01-09,PNJ,62.95,61.9
2024-01-09,SJC,74.7,72.0
2024-01-10,PNJ,63.1,62.0
2024-01-10,SJC,74.75,72.1
2024-01-11,PNJ,63.15,62.0
2024-01-11,SJC,75.3,73.2
2024-01-12,PNJ,63.35,62.2
2024-01-12,SJC,76.0,73.7
2024-01-13,PNJ,63.5,62.4
2024-01-13,SJC,77.5,74.5
2024-01-15,PNJ,64.0,62.9
2024-01-15,SJC,77.5,74.5
2024-01-16,PNJ,64.15,63.05
2024-01-16,SJC,76.7,74.5
2024-01-17,PNJ,63.8,62.7
2024-01-17,SJC,76.5,74.0
2024-01-18,PNJ,63.5,62.3
2024-01-18,SJC,76.3,74.0
2024-01-19,PNJ,63.75,62.55
2024-01-19,SJC,77.1,74.6
2024-01-20,PNJ,63.85,62.6
2024-01-20,SJC,76.9,74.3
2024-01-22,PNJ,64.05,62.85
2024-01-22,SJC,76.8,74.25
2024-01-23,PNJ,64.1,62.85
2024-01-23,SJC,76.5,74.0
2024-01-24,PNJ,64.2,62.9
2024-01-24,SJC,76.7,74.2
2024-01-25,PNJ,64.05,62.75
2024-01-25,SJC,76.5,74.0
2024-01-26,PNJ,64.05,62.75
2024-01-26,SJC,76.8,74.4
2024-01-27,PNJ,64.05,62.75
2024-01-27,SJC,76.8,74.4
2024-01-29,PNJ,64.05,62.75
2024-01-29,SJC,76.8,74.4
2024-01-30,PNJ,64.15,62.8
2024-01-30,SJC,77.4,74.9
2024-01-31,PNJ,64.25,62.9
2024-01-31,SJC,77.9,75.4
2024-02-01,PNJ,64.35,63.1
2024-02-01,SJC,78.4,76.2
2024-02-02,PNJ,64.45,63.25
2024-02-02,SJC,78.7,76.4
2024-02-03,PNJ,64.45,63.25
2024-02-03,SJC,78.7,76.4
2024-02-05,PNJ,64.4,63.2
2024-02-05,SJC,78.4,76.2
2024-02-06,PNJ,64.4,63.2
2024-02-06,SJC,78.7,76.5
2024-02-07,PNJ,64.55,63.4
2024-02-07,SJC,78.9,76.7
2024-02-15,PNJ,64.55,63.4
2024-02-15,SJC,78.9,76.7
2024-02-16,PNJ,64.5,63.35
2024-02-16,SJC,78.95,76.95
2024-02-17,PNJ,64.6,63.5
2024-02-17,SJC,78.8,76.6
2024-02-18,PNJ,64.6,63.35
2024-02-18,SJC,78.4,75.8
2024-02-19,PNJ,64.6,63.35
2024-02-19,SJC,78.4,75.8
2024-02-20,PNJ,64.6,63.35
2024-02-20,SJC,78.2,76.0
2024-02-21,PNJ,64.5,63.3
2024-02-21,SJC,78.5,76.3
2024-02-22,PNJ,64.5,63.3
2024-02-22,SJC,78.7,76.5
2024-02-23,PNJ,64.6,63.35
2024-02-23,SJC,79.0,76.8
2024-02-24,PNJ,64.7,63.55
2024-02-24,SJC,78.7,76.5
2024-02-26,PNJ,64.7,63.55
2024-02-26,SJC,79.0,76.8
2024-02-27,PNJ,65.1,63.9
2024-02-27,SJC,79.5,77.7
2024-02-28,PNJ,65.1,63.9
2024-02-28,SJC,79.3,77.4
2024-02-29,PNJ,65.3,64.1
2024-02-29,SJC,79.7,77.8
2024-03-01,PNJ,65.6,64.4
2024-03-01,SJC,79.8,77.9
2024-03-02,PNJ,66.45,65.25
2024-03-02,SJC,81.0,78.6
2024-03-04,PNJ,66.85,65.6
2024-03-04,SJC,80.7,78.8
2024-03-05,PNJ,67.7,66.5
2024-03-05,SJC,80.9,79.0
2024-03-06,PNJ,67.85,66.6
2024-03-06,SJC,81.0,79.0
2024-03-07,PNJ,68.15,66.85
2024-03-07,SJC,81.8,79.8
2024-03-08,PNJ,68.65,67.35
2024-03-08,SJC,81.9,79.9
2024-03-09,PNJ,69.35,68.1
2024-03-09,SJC,82.2,79.9
2024-03-11,PNJ,70.05,68.8
2024-03-11,SJC,82.2,80.2
2024-03-12,PNJ,70.25,68.95
2024-03-12,SJC,82.5,80.5
2024-03-13,PNJ,69.6,68.4
2024-03-13,SJC,82.2,80.1
