update,type,buy,sell
2014-06-23,PNJ,34.35,34.15
2014-06-23,SJC,36.84,36.72
2014-06-24,PNJ,34.42,34.22
2014-06-24,SJC,36.92,36.8
2014-06-25,PNJ,34.45,34.25
2014-06-25,SJC,36.85,36.76
2014-06-26,PNJ,34.43,34.23
2014-06-26,SJC,36.83,36.75
2014-06-27,PNJ,34.45,34.25
2014-06-27,SJC,36.85,36.76
2014-06-28,PNJ,34.45,34.25
2014-06-28,SJC,36.84,36.72
2014-07-01,PNJ,34.85,34.65
2014-07-01,SJC,36.95,36.86
2014-07-02,PNJ,34.75,34.55
2014-07-02,SJC,36.95,36.87
2014-07-03,PNJ,34.72,34.52
2014-07-03,SJC,36.91,36.83
2014-07-04,PNJ,34.63,34.43
2014-07-04,SJC,36.84,36.76
2014-07-05,PNJ,34.6,34.4
2014-07-05,SJC,36.82,36.72
2014-07-07,PNJ,34.58,34.38
2014-07-07,SJC,36.8,36.71
2014-07-08,PNJ,34.66,34.46
2014-07-08,SJC,36.85,36.76
2014-07-09,PNJ,34.7,34.5
2014-07-09,SJC,36.88,36.8
2014-07-10,PNJ,34.88,34.68
2014-07-10,SJC,37.05,36.9
2014-07-11,PNJ,34.9,34.7
2014-07-11,SJC,36.97,36.89
2014-07-12,PNJ,34.9,34.7
2014-07-12,SJC,36.97,36.88
2014-07-14,PNJ,34.89,34.69
2014-07-14,SJC,36.94,36.86
2014-07-15,PNJ,34.7,34.5
2014-07-15,SJC,36.88,36.77
2014-07-16,PNJ,34.43,34.23
2014-07-16,SJC,36.8,36.69
2014-07-17,PNJ,34.48,34.28
2014-07-17,SJC,36.84,36.77
2014-07-18,PNJ,34.53,34.33
2014-07-18,SJC,36.88,36.78
2014-07-19,PNJ,34.52,34.32
2014-07-19,SJC,36.85,36.75
2014-07-21,PNJ,34.65,34.45
2014-07-21,SJC,36.84,36.77
2014-07-22,PNJ,34.66,34.46
2014-07-22,SJC,36.81,36.75
2014-07-23,PNJ,34.6,34.4
2014-07-23,SJC,36.8,36.7
2014-07-24,PNJ,34.52,34.32
2014-07-24,SJC,36.75,36.65
2014-07-25,PNJ,34.36,34.16
2014-07-25,SJC,36.72,36.61
2014-07-26,PNJ,34.45,34.25
2014-07-26,SJC,36.8,36.68
2014-07-28,PNJ,34.45,34.25
2014-07-28,SJC,36.75,36.65
2014-07-29,PNJ,34.4,34.2
2014-07-29,SJC,36.75,36.67
2014-07-30,PNJ,34.35,34.15
2014-07-30,SJC,36.73,36.63
2014-07-31,PNJ,34.33,34.13
2014-07-31,SJC,36.71,36.61
2014-08-01,PNJ,34.29,33.99
2014-08-01,SJC,36.63,36.52
2014-08-02,PNJ,34.3,34.05
2014-08-02,SJC,36.7,36.55
2014-08-04,PNJ,34.3,34.05
2014-08-04,SJC,36.64,36.58
2014-08-05,PNJ,34.2,34.0
2014-08-05,SJC,36.65,36.56
2014-08-06,PNJ,34.17,33.97
2014-08-06,SJC,36.64,36.56
2014-08-07,PNJ,34.39,34.19
2014-08-07,SJC,36.73,36.65
2014-08-08,PNJ,34.51,34.31
2014-08-08,SJC,36.79,36.72
2014-08-09,PNJ,34.5,34.3
2014-08-09,SJC,36.73,36.63
2014-08-11,PNJ,34.4,34.2
2014-08-11,SJC,36.74,36.65
2014-08-12,PNJ,34.4,34.2
2014-08-12,SJC,36.75,36.65
2014-08-13,PNJ,34.4,34.2
2014-08-13,SJC,36.71,36.64
2014-08-14,PNJ,34.46,34.26
2014-08-14,SJC,36.75,36.66
2014-08-15,PNJ,34.45,34.25
2014-08-15,SJC,36.72,36.65
2014-08-16,PNJ,34.4,34.2
2014-08-16,SJC,36.65,36.55
2014-08-18,PNJ,34.28,34.08
2014-08-18,SJC,36.65,36.56
2014-08-19,PNJ,34.31,34.11
2014-08-19,SJC,36.64,36.56
2014-08-20,PNJ,34.29,34.09
2014-08-20,SJC,36.59,36.53
2014-08-21,PNJ,34.25,34.05
2014-08-21,SJC,36.54,36.48
2014-08-22,PNJ,34.04,33.84
2014-08-22,SJC,36.54,36.44
2014-08-23,PNJ,34.04,33.84
2014-08-23,SJC,36.52,36.44
