update_time,buy,previous_buy,trend
2023-12-22,61.9,,Stable
2023-12-23,61.9,61.9,Stable
2023-12-25,62.0,61.9,Increasing
2023-12-26,62.55,62.0,Increasing
2023-12-27,62.75,62.55,Increasing
2023-12-28,63.05,62.75,Increasing
2023-12-29,62.5,63.05,Decreasing
2023-12-30,62.2,62.5,Decreasing
2024-01-02,62.15,62.2,Decreasing
2024-01-03,62.15,62.15,Stable
2024-01-04,62.0,62.15,Decreasing
2024-01-05,62.0,62.0,Stable
2024-01-06,62.0,62.0,Stable
2024-01-08,62.0,62.0,Stable
2024-01-09,61.9,62.0,Decreasing
2024-01-10,62.0,61.9,Increasing
2024-01-11,62.0,62.0,Stable
2024-01-12,62.2,62.0,Increasing
2024-01-13,62.4,62.2,Increasing
2024-01-15,62.9,62.4,Increasing
2024-01-16,63.05,62.9,Increasing
2024-01-17,62.7,63.05,Decreasing
2024-01-18,62.3,62.7,Decreasing
2024-01-19,62.55,62.3,Increasing
2024-01-20,62.6,62.55,Increasing
2024-01-22,62.85,62.6,Increasing
2024-01-23,62.85,62.85,Stable
2024-01-24,62.9,62.85,Increasing
2024-01-25,62.75,62.9,Decreasing
2024-01-26,62.75,62.75,Stable
2024-01-27,62.75,62.75,Stable
2024-01-29,62.75,62.75,Stable
2024-01-30,62.8,62.75,Increasing
2024-01-31,62.9,62.8,Increasing
2024-02-01,63.1,62.9,Increasing
2024-02-02,63.25,63.1,Increasing
2024-02-03,63.25,63.25,Stable
2024-02-05,63.2,63.25,Decreasing
2024-02-06,63.2,63.2,Stable
2024-02-07,63.4,63.2,Increasing
2024-02-15,63.4,63.4,Stable
2024-02-16,63.35,63.4,Decreasing
2024-02-17,63.5,63.35,Increasing
2024-02-18,63.35,63.5,Decreasing
2024-02-19,63.35,63.35,Stable
2024-02-20,63.35,63.35,Stable
2024-02-21,63.3,63.35,Decreasing
2024-02-22,63.3,63.3,Stable
2024-02-23,63.35,63.3,Increasing
2024-02-24,63.55,63.35,Increasing
2024-02-26,63.55,63.55,Stable
2024-02-27,63.9,63.55,Increasing
2024-02-28,63.9,63.9,Stable
2024-02-29,64.1,63.9,Increasing
2024-03-01,64.4,64.1,Increasing
2024-03-02,65.25,64.4,Increasing
2024-03-04,65.6,65.25,Increasing
2024-03-05,66.5,65.6,Increasing
2024-03-06,66.6,66.5,Increasing
2024-03-07,66.85,66.6,Increasing
2024-03-08,67.35,66.85,Increasing
2024-03-09,68.1,67.35,Increasing
2024-03-11,68.8,68.1,Increasing
2024-03-12,68.95,68.8,Increasing
2024-03-13,68.4,68.95,Decreasing
2024-03-14,67.9,68.4,Decreasing
2024-03-15,67.9,67.9,Stable
2024-03-16,67.7,67.9,Decreasing
2024-03-18,67.5,67.7,Decreasing
2024-03-19,67.5,67.5,Stable
2024-03-20,67.55,67.5,Increasing
2024-03-21,68.7,67.55,Increasing
2024-03-22,68.1,68.7,Decreasing
2024-03-23,67.9,68.1,Decreasing
2024-03-25,68.0,67.9,Increasing
2024-03-26,68.2,68.0,Increasing
2024-03-27,68.2,68.2,Stable
2024-03-28,68.5,68.2,Increasing
2024-03-29,69.3,68.5,Increasing
2024-03-30,69.3,69.3,Stable
2024-04-01,69.7,69.3,Increasing
2024-04-02,69.6,69.7,Decreasing
2024-04-03,70.45,69.6,Increasing
2024-04-04,70.85,70.45,Increasing
2024-04-05,70.85,70.85,Stable
